medidor_iot,fecha_instalacion,fecha_desinstalacion,estado,tipo_medidor_id
E1:5B:AA:5E:42:15,12/20/18,,Reacondicionado,4
87:E4:91:6C:00:C9,12/19/22,,Operativo,4
26:74:AA:75:9E:D2,09/27/14,,Operativo,2
96:A9:5C:17:A8:BD,04/19/21,,Operativo,4
F5:53:AA:CD:0C:53,05/11/22,,Reacondicionado,1
7E:20:6B:21:C7:AC,07/02/22,,Operativo,3
71:52:FB:EB:5D:07,07/01/17,,Operativo,3
E6:60:12:A8:DC:4A,11/05/17,,Mantenimiento,2
23:72:89:5F:71:D9,10/28/24,,Operativo,5
AA:45:80:C0:8C:56,06/05/16,,Operativo,5
94:DB:2E:F7:7E:E5,09/27/15,,Mantenimiento,1
BC:1B:05:90:1E:2D,02/21/25,,Operativo,3
1D:AC:A4:41:CD:BF,10/09/19,,Operativo,1
1C:A0:EB:9E:DB:61,06/15/15,,Dañado,4
EC:DA:55:38:3B:9C,09/17/25,,Operativo,4
B8:BF:71:5F:76:2A,09/08/23,,Operativo,2
C5:8A:6B:80:50:1F,04/27/18,,Dañado,1
42:C4:93:56:6B:9C,12/31/21,,Operativo,3
37:5B:F0:77:FD:B8,07/26/25,,Operativo,3
58:B4:2B:27:8D:93,07/09/20,,Operativo,4
0F:19:8A:C8:05:E2,09/21/17,,Operativo,4
,,,,
,Descarga,,,
,https://drive.google.com/file/d/1S-NHYKEYdTdNz_0YjVfV1Uw-vp7R57Oi/view?usp=sharing,,,
