PAIS,DEPARTAMENTO,PROVINCIA,MUNICIPIO,RECINTO,ASIENTO,TIPO-CIRCUN,LATITUD,LONGITUD,CIRCUNSCRIPCION,DISTRITO,CUADRANTE
Bolivia,Beni,Cercado,Trinidad,(Cárcel) Cárcel De Mujeres,Trinidad,Uninominal,-14.84692,-64.90281,58,.,.
Bolivia,Beni,Cercado,Trinidad,(Cárcel) Cárcel Mocobi,Trinidad,Uninominal,-14.77958,-64.90376,58,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,(Cárcel) Penal Guayaramerin,Guayaramerín,Uninominal,-10.81292,-65.35279,61,.,.
Bolivia,Beni,Vaca Diez,Riberalta,(Cárcel) Penal Riberalta,Riberalta,Uninominal,-10.99669,-66.0738,60,.,.
Bolivia,Beni,Cercado,Trinidad,"Cancha Polifuncional ""Junta de Vecinos San Juan"" (Temporal)",Trinidad,Uninominal,-14.841099,-64.906085,58,.,.
Bolivia,Beni,Cercado,Trinidad,Caritas (Temporal),Trinidad,Uninominal,-14.845748,-64.901202,58,.,.
Bolivia,Beni,General José Ballivián,San Borja,Col. Industrial Ingavi,Yucumo,Uninominal,-15.14148,-67.03596,59,.,.
Bolivia,Beni,Mamoré,Puerto Siles,Esc. Alejandria,Alejandr?¡a,Especial,-12.08011,-65.06511,6,.,.
Bolivia,Beni,Iténez,Baures,Esc. Alta Gracia,Alta Gracia,Uninominal,-13.63675,-63.66943,61,.,.
Bolivia,Beni,Iténez,Magdalena,Esc. Angel Chavez Arza,Nueva Calama,Uninominal,-12.89689,-64.24437,61,.,.
Bolivia,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Esc. Asuncion Del Quiquibey,Asunciñn de Quiquibey,Especial,-14.64125,-67.51161,6,.,.
Bolivia,Beni,General José Ballivián,Reyes,Esc. Buen Destino,Buen Destino,Especial,-11.76321,-66.76987,6,.,.
Bolivia,Beni,Marbán,San Andrés,Esc. Buen Jesus,Buen Jesñs,Uninominal,-14.98918,-64.37089,59,.,.
Bolivia,Beni,Iténez,Magdalena,Esc. Buena Vista,Buena Vista,Uninominal,-12.45551,-64.23037,61,.,.
Bolivia,Beni,Marbán,San Andrés,Esc. Caimanes,Caimanes,Uninominal,-15.16342,-64.05082,59,.,.
Bolivia,Beni,Iténez,Baures,Esc. Cairo II,El Cairo II,Especial,-14.20468,-63.52425,6,.,.
Bolivia,Beni,Marbán,Loreto,Esc. Camiaco,Camiaco,Uninominal,-15.33278,-64.86686,59,.,.
Bolivia,Beni,Yacuma,Exaltación,Esc. Campo Ana Maria,Campo Ana Maria,Especial,-12.94433,-65.57471,6,.,.
Bolivia,Beni,Yacuma,Santa Ana,Esc. Cec. El Totaisal,Totaisal,Uninominal,-14.877911,-66.327083,61,.,.
Bolivia,Beni,Iténez,Magdalena,Esc. Central 1o. De Mayo,Versalles,Especial,-12.65748,-63.37995,6,.,.
Bolivia,Beni,Marbán,San Andrés,Esc. Central 2 De Agosto,San Pablo,Uninominal,-15.24271,-63.86697,59,.,.
Bolivia,Beni,General José Ballivián,Reyes,Esc. Central Baquety,Baquety,Especial,-12.53514,-66.79783,6,.,.
Bolivia,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Esc. Central Nuevos Horizontes,Nuevos Horizontes,Uninominal,-14.59985,-67.27888,59,.,.
Bolivia,Beni,General José Ballivián,Santa Rosa,Esc. Central Palma Flor,Palma Flor,Uninominal,-12.96253,-66.6287,60,.,.
Bolivia,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Esc. Central Piedras Blancas,Piedras Blancas,Uninominal,-14.78934,-67.15208,59,.,.
Bolivia,Beni,General José Ballivián,Reyes,Esc. Central Puerto Cavinas,Puerto Cavinas,Especial,-12.53129,-66.91502,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Central San Ignacito,San Ignacito,Uninominal,-15.4581,-65.64748,59,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,Esc. Central San Lorenzo,San Lorenzo  de Vaca Diez,Uninominal,-11.73968,-65.23228,61,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Central Santa Rosa,Santa Rosa Rio Apere,Especial,-15.22264,-65.85181,6,.,.
Bolivia,Beni,Mamoré,San Joaquín,Esc. Chaco Lejos,Chaco Lejos,Uninominal,-12.83958,-64.9071,61,.,.
Bolivia,Beni,General José Ballivián,Reyes,Esc. Constanza Vargas,El Triunfo Rio Biata,Especial,-11.73581,-66.73828,6,.,.
Bolivia,Beni,Yacuma,Exaltación,Esc. Cooperativa,Cooperativa,Especial,-12.6354,-65.04883,6,.,.
Bolivia,Beni,Yacuma,Exaltación,Esc. Coquinal,Coquinal,Especial,-12.97027,-65.85875,6,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. De Puerto Yucumo,Puerto Yucumo,Especial,-15.19761,-66.93755,6,.,.
Bolivia,Beni,General José Ballivián,Santa Rosa,Esc. El Candado,El Candado,Uninominal,-13.50823,-66.84259,60,.,.
Bolivia,Beni,Iténez,Huacaraje,Esc. El Carmen,El Carmen del Itenez,Uninominal,-14.23021,-63.80146,61,.,.
Bolivia,Beni,Mamoré,San Ramón,Esc. El Carmen de Guacayane,El Carmen de Guacayane,Uninominal,-13.12766,-64.37999,61,.,.
Bolivia,Beni,General José Ballivián,Santa Rosa,Esc. El Cerrito,El Cerrito,Uninominal,-13.09042,-66.7103,60,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. El Chacal,El Chacal,Especial,-14.75295,-66.62759,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. El Desengaño,Desengaño,Uninominal,-14.27502,-65.44534,59,.,.
Bolivia,Beni,Yacuma,Exaltación,Esc. El Motacusal,Rancho Ginebra,Especial,-12.91581,-65.4307,6,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. El Palmar,El Palmar,Uninominal,-14.97903,-67.08794,59,.,.
Bolivia,Beni,Mamoré,San Ramón,Esc. El Poyori,Poyori,Uninominal,-13.00931,-64.42094,61,.,.
Bolivia,Beni,Iténez,Baures,Esc. El Remanzo,El Remanzo del Itenez,Uninominal,-13.52387,-61.8741,61,.,.
Bolivia,Beni,General José Ballivián,Santa Rosa,Esc. El Triunfo,El Triunfo/Las Petas,Uninominal,-13.86169,-66.76116,60,.,.
Bolivia,Beni,Yacuma,Exaltación,Esc. El Trompillo,El Trompillo/Mamoré,Especial,-13.11602,-65.11865,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Fatima,Fatima,Especial,-14.91402,-65.34778,6,.,.
Bolivia,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Esc. Gualberto Villarruel,Rurrenabaque,Uninominal,-14.44452,-67.5281,59,.,.
Bolivia,Beni,Marbán,Loreto,Esc. Gundonovia,Gundonovia,Especial,-15.51444,-65.11512,6,.,.
Bolivia,Beni,Marbán,San Andrés,Esc. Humberto Velarde,San Andrés,Uninominal,-15.02232,-64.66631,59,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. Indigena Arenales,Ind?¡genas Arenales,Especial,-15.10867,-66.9127,6,.,.
Bolivia,Beni,Yacuma,Exaltación,Esc. José Max Paredes,Exaltación,Uninominal,-13.32101,-65.25107,61,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,Esc. Juddi De Suarez,Cachuela Esperanza,Uninominal,-10.53687,-65.58167,61,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. Junrreno,Junreno,Uninominal,-14.37257,-66.93327,59,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. La Argentina,Argentina,Especial,-14.82843,-65.32679,6,.,.
Bolivia,Beni,Iténez,Magdalena,Esc. La Cayoba,La Cayoba,Especial,-13.09004,-64.08502,6,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. La Cruz,La Cruz,Especial,-14.97601,-66.73125,6,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. La Embocada,La Embocada,Uninominal,-15.045773,-66.861347,59,.,.
Bolivia,Beni,Marbán,San Andrés,Esc. La Isiga-Persevera,La Isiga/Perseverancia,Uninominal,-15.39423,-64.32283,59,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. Las Abras,Las Habras,Uninominal,-14.4615,-66.93307,59,.,.
Bolivia,Beni,Cercado,Trinidad,Esc. Loma Suarez,Loma Suárez,Uninominal,-14.76063,-64.96272,58,.,.
Bolivia,Beni,Yacuma,Santa Ana,Esc. Los Montes De Oro,Los Montes de Oro,Especial,-14.33763,-65.8585,6,.,.
Bolivia,Beni,Cercado,Trinidad,Esc. Mayor Pedro Vaca Diez,Puerto Almacén,Uninominal,-14.86952,-64.96582,58,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Mercedes De Lojojota,Mercedes de Lojojota,Especial,-16.5034,-65.57259,6,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. Mision Fatima,Misiñn Fatima,Especial,-15.45636,-66.746,6,.,.
Bolivia,Beni,Marbán,San Andrés,Esc. Monte Cristo,Monte Cristo,Uninominal,-15.611731,-64.374031,59,.,.
Bolivia,Beni,Iténez,Baures,Esc. Monte Cristo Del Tiquin,Monte Cristo del Tiquin,Uninominal,-13.62647,-61.97526,61,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Monte Grande,Monte Grande,Especial,-15.63879,-65.82966,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Monte Mae,Monte Mae,Uninominal,-15.53512,-65.72498,59,.,.
Bolivia,Beni,Mamoré,San Joaquín,Esc. More-Monte Azul,Moré-Monte Azul,Especial,-12.09472,-64.91856,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Oromomo,Oromomo,Especial,-16.043994,-66.187433,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Ovidio Roca C.,San Lorenzo de Moxos,Especial,-15.55553,-65.55151,6,.,.
Bolivia,Beni,Marbán,Loreto,Esc. Perfecta Vda. De Bejarano,Loreto,Uninominal,-15.19398,-64.76012,59,.,.
Bolivia,Beni,General José Ballivián,Reyes,Esc. Peña Amarilla,Peña Amarilla,Uninominal,-11.5471,-66.67179,60,.,.
Bolivia,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Esc. Playa Ancha,Playa Ancha,Uninominal,-14.62954,-67.26197,59,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Pto. San Lorenzo,Puerto San Lorenzo de Moxos,Especial,-15.77166,-65.4773,6,.,.
Bolivia,Beni,Cercado,Trinidad,Esc. Puerto Ballivian,Puerto Ballivián,Uninominal,-14.79312,-64.97205,58,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Puerto San Borja,Puerto San Borja,Especial,-14.98267,-65.79875,6,.,.
Bolivia,Beni,General José Ballivián,Santa Rosa,Esc. Puerto Teresa,Puerto Teresa,Uninominal,-13.44813,-66.60133,60,.,.
Bolivia,Beni,Mamoré,San Joaquín,Esc. Puerto Ustarez,Puerto Ustarez,Especial,-12.40728,-64.45786,6,.,.
Bolivia,Beni,Cercado,Trinidad,Esc. Puerto Varador,Puerto Barador,Uninominal,-14.87702,-64.99762,58,.,.
Bolivia,Beni,General José Ballivián,Santa Rosa,Esc. Puerto Yata,Puerto Yata,Uninominal,-13.45108,-66.63308,60,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. Retiro,Retiro,Especial,-15.34924,-65.80604,6,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,Esc. Rosario Del Yata,Rosario del Yata,Uninominal,-10.99195,-65.57995,61,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. S. Juan Del Remanzo,Remanso del Maniqui,Especial,-14.67902,-66.5321,6,.,.
Bolivia,Beni,Marbán,Loreto,Esc. Sachojere,Sachojere,Uninominal,-14.98731,-64.75289,59,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. San Antonio De Imose,San Antonio de Imose,Especial,-15.95693,-65.35487,6,.,.
Bolivia,Beni,Iténez,Magdalena,Esc. San Borja Rio Blanco,San Borja R?¡o Blanco,Uninominal,-12.62778,-64.10181,61,.,.
Bolivia,Beni,Yacuma,Exaltación,Esc. San Carlos,San Carlos,Especial,-13.23234,-65.70103,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. San Francisco,San Francisco,Especial,-15.41029,-65.35629,6,.,.
Bolivia,Beni,Vaca Diez,Guayaramerín,Esc. San Francisco Del Yata,San Francisco del Yata,Uninominal,-10.61194,-65.51111,61,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. San José De Patrocinio,San José de Patrocinio,Especial,-15.7724,-65.29938,6,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. San José Del Cabitu,San José del Cabitu,Especial,-15.26368,-65.9744,6,.,.
Bolivia,Beni,Cercado,Trinidad,Esc. San Juan De Aguas Dulces,San Juan de Aguas Dulces,Uninominal,-14.80817,-64.57809,58,.,.
Bolivia,Beni,Moxos,San Ignacio,Esc. San Miguelito Isiboro,San Miguelito del Isiboro,Especial,-16.52943,-65.44078,6,.,.
Bolivia,Beni,Marbán,Loreto,Esc. San Pablo-Isiboro,San Pablo del Isiboro,Especial,-15.70741,-65.14317,6,.,.
Bolivia,Beni,Iténez,Baures,Esc. San Simon,San Simon,Uninominal,-13.61491,-62.02819,61,.,.
Bolivia,Beni,General José Ballivián,San Borja,Esc. Santa Elena del Caripo,Santa Elena del Caripo,Uninominal,-14.5799,-66.82342,59,.,.
Bolivia,Beni,Iténez,Baures,Esc. Seccional Cafetal,Cafetal,Uninominal,-13.49341,-61.88521,61,.,.
Bolivia,Beni,Marbán,San Andrés,Esc. Somopae,Somopae,Uninominal,-14.94441,-64.65401,59,.,.
