DISTRITO,CÓDIGO,NOMBRE,EDUCACIÓN,DEPENDENCIA,RESOLUCIÓN,FECHA DE RESOLUCIÓN,ZONA,DIRECCIÓN,ESTADO,https://sigee.sie.gob.bo/#
COCHABAMBA 2,80980471,JAIHUAYCO,Alternativa y Especial,Convenio,1157/2006,7/5/2006,-,CALLE TABLAS 980,Abierta,.
COCHABAMBA 1,80980098,JUAN ANTONIO CABRERIZO RIOS,Regular,Fiscal,R.A. 1013/2012,15/5/2012,-,21 DE DICIEMBRE PLAZUELA CARMEN,Abierta,.
COCHABAMBA 1,80980097,IV CENTENARIO,Regular,Fiscal,R.A. 01019/2009,28/5/2009,-,21 DE DICIEMBRE PLAZUELA CARMEN,Abierta,.
COCHABAMBA 2,80980100,ESTADOS UNIDOS A,Regular,Fiscal,R.A. 2199/2009,28/9/2009,3RA VILLA NORTE,ISIBORO Nro 1063,Abierta,.
COCHABAMBA 2,80980101,ANGEL HONORATO SALAZAR,Regular,Fiscal,2854/2000,14/7/2000,3RA VILLA NORTE,ISIBORO Nro 1063,Abierta,.
COCHABAMBA 2,80980536,26 DE OCTUBRE,Regular,Fiscal,0284/2009,17/2/2009,ALALAY NORTE,.,Abierta,.
COCHABAMBA 2,80980462,RENE CRESPO RICO,Regular,Fiscal,R.A. 16/2024,2/1/2024,ALALAY NORTE,CALLE 30 DE ABRIL 2 CUADRAS AL SUD,Abierta,.
COCHABAMBA 2,80980672,LIBERTAD II,Regular,Fiscal,R.A. 1661/2022,19/5/2022,ALALAY SUD,AVENIDA JUJUY ENTRE CORDOVA,Abierta,.
COCHABAMBA 2,80980256,CEFERINO NAMUNCURA,Regular,Convenio,1299/2007,22/6/2007,ALBA RANCHO,ALBA RANCHO,Abierta,.
COCHABAMBA 2,80980573,JUANA AZURDUY DE PADILLA,Regular,Fiscal,R.A. 2939/2012,29/10/2012,ALTO COCHABAMBA,VERSALLES S/N,Abierta,.
COCHABAMBA 2,80980219,ALTO COCHABAMBA,Regular,Fiscal,R.A. 1898/2009,9/9/2009,ALTO COCHABAMBA,VERSALLES S/N,Abierta,.
COCHABAMBA 2,80980646,ALTO K'ARA K'ARA,Regular,Fiscal,R.A. 056/2020,10/2/2020,ALTO KARA KARA,.,Abierta,.
COCHABAMBA 2,80980535,VOCES LIBRES,Regular,Fiscal,R.A. 2080/2008,22/12/2008,ALTO KARA KARA,.,Abierta,.
COCHABAMBA 1,80980563,1ERO. DE MAYO,Regular,Fiscal,R.A. 3526/2010,14/12/2010,ANDRADA,COMUNIDAD ANDRADA,Abierta,.
COCHABAMBA 2,80980584,1RO. DE MAYO 2,Regular,Fiscal,R.A. 1981/2013,9/8/2013,BARRIO 1RO. DE MAYO,BARRIO 1RO. DE MAYO,Abierta,.
COCHABAMBA 2,80980076,HNO. PACIFICO FELETTI,Regular,Convenio,4364/2000,3/11/2000,BARRIO 1RO. DE MAYO,BARRIO 1RO. DE MAYO,Abierta,.
COCHABAMBA 2,80980075,1RO. DE MAYO,Regular,Fiscal,219,26/4/1996,BARRIO 1RO. DE MAYO,BARRIO 1RO. DE MAYO,Abierta,.
COCHABAMBA 2,80980695,HNO. PACIFICO FELETTI I,Regular,Convenio,R.A. 3703/2024,8/8/2024,BARRIO 1RO. DE MAYO,BARRIO 1RO. DE MAYO,Abierta,.
COCHABAMBA 2,80980486,1RO. DE MAYO A,Alternativa y Especial,Convenio,R.M. 0764/2019,10/7/2019,BARRIO 1RO. DE MAYO,BARRIO 1RO. DE MAYO,Abierta,.
COCHABAMBA 2,80980010,SAN FRANCISCO DE ASIS B,Regular,Convenio,R.A. 1013/2022,22/3/2022,BARRIO DON BOSCO,AVENIDA NUESTRA SEÑORA DE LOURDES,Abierta,.
COCHABAMBA 2,80980009,SANTA CLARA DE ASIS,Regular,Convenio,R.A. 1189/2022,7/4/2022,BARRIO DON BOSCO,AVENIDA NUESTRA SEÑORA DE LOURDES,Abierta,.
COCHABAMBA 2,80980210,MARTIN CARDENAS B,Regular,Fiscal,R.A. 0465/2019,4/7/2019,BARRIO MINERO,CALLE 10 DE NOVIEMBRE S/N,Abierta,.
COCHABAMBA 2,80980211,CAMPANITA,Regular,Fiscal,R.A. 2390/2009,16/10/2009,BARRIO MINERO,CALLE 10 DE NOVIEMBRE S/N,Abierta,.
COCHABAMBA 2,80980209,LIBORIO CADIMA,Regular,Fiscal,3134/2000,24/7/2000,BARRIO MINERO,CALLE 10 DE NOVIEMBRE S/N,Abierta,.
COCHABAMBA 2,80980496,RAYITO DE LUZ,Regular,Fiscal,0706/2006,4/4/2006,BARRIO MINERO,CALLE 10 DE NOVIEMBRE S/N,Abierta,.
